"","lonL","lonR","latB","latT","smaller","avgAAUs","factor","sideSquares","avgAAUs.1"
"1",-3.755549,-3.74374662497659,40.4833884866444,40.48789,FALSE,5.31286282279565e-05,48,4,12.675
"2",-3.755549,-3.74374662497659,40.4788869732888,40.4833884866444,FALSE,5.31287243567133e-05,96,4,12.7
"3",-3.755549,-3.74374662497659,40.4743854599332,40.4788869732888,FALSE,5.3131419437663e-05,96,4,12.825
"4",-3.755549,-3.74374662497659,40.4698839465776,40.4743854599332,FALSE,5.31436328333992e-05,48,4,12.85
"5",-3.755549,-3.74374662497659,40.465382433222,40.4698839465776,FALSE,5.31661071946014e-05,48,4,12.2
"6",-3.755549,-3.74374662497659,40.4608809198664,40.465382433222,FALSE,5.31902869579912e-05,96,4,12.7
"7",-3.755549,-3.74374662497659,40.4563794065108,40.4608809198664,FALSE,5.32078932094784e-05,48,4,12.55
"8",-3.755549,-3.74374662497659,40.4518778931552,40.4563794065108,FALSE,5.32172421786962e-05,48,4,12.675
"9",-3.755549,-3.74374662497659,40.4473763797996,40.4518778931552,FALSE,5.32209562920917e-05,96,4,12.525
"10",-3.755549,-3.74374662497659,40.442874866444,40.4473763797996,FALSE,5.32213640505217e-05,96,4,12.65
"11",-3.755549,-3.74374662497659,40.4383733530884,40.442874866444,FALSE,5.32187943034437e-05,48,4,12.075
"12",-3.755549,-3.74374662497659,40.4338718397328,40.4383733530884,FALSE,5.32114495743706e-05,48,4,12.6
"13",-3.755549,-3.74374662497659,40.4293703263772,40.4338718397328,FALSE,5.31964139918498e-05,48,4,12.975
"14",-3.755549,-3.74374662497659,40.4248688130216,40.4293703263772,FALSE,5.31735764964766e-05,48,4,12.125
"15",-3.755549,-3.74374662497659,40.420367299666,40.4248688130216,FALSE,5.31495055450528e-05,48,4,12.3
"16",-3.755549,-3.74374662497659,40.4158657863104,40.420367299666,FALSE,5.31337856076491e-05,96,4,13
"17",-3.755549,-3.74374662497659,40.4113642729548,40.4158657863104,FALSE,5.31289762054838e-05,48,4,12.775
"18",-3.755549,-3.74374662497659,40.4068627595992,40.4113642729548,FALSE,5.31286277875658e-05,48,4,12.75
"19",-3.755549,-3.74374662497659,40.4023612462436,40.4068627595992,FALSE,5.31286258031089e-05,48,4,12.625
"20",-3.755549,-3.74374662497659,40.397859732888,40.4023612462436,FALSE,5.31286335273014e-05,48,4,12.425
"21",-3.755549,-3.74374662497659,40.3933582195324,40.397859732888,FALSE,5.31286278621028e-05,48,4,12.2
"22",-3.755549,-3.74374662497659,40.3888567061768,40.3933582195324,FALSE,5.31286280622225e-05,48,4,12.725
"23",-3.755549,-3.74374662497659,40.3843551928212,40.3888567061768,FALSE,5.31286299291691e-05,48,4,12.425
"24",-3.755549,-3.74374662497659,40.38171,40.3843551928212,TRUE,3.12196059911427e-05,48,4,Inf
"25",-3.74374662497659,-3.73194424995318,40.4833884866444,40.48789,FALSE,5.31286434822909e-05,96,4,12.725
"26",-3.74374662497659,-3.73194424995318,40.4788869732888,40.4833884866444,FALSE,5.31304413688242e-05,48,4,12.825
"27",-3.74374662497659,-3.73194424995318,40.4743854599332,40.4788869732888,FALSE,5.31437662694135e-05,48,4,12.275
"28",-3.74374662497659,-3.73194424995318,40.4698839465776,40.4743854599332,FALSE,5.3172788832125e-05,96,4,12.7
"29",-3.74374662497659,-3.73194424995318,40.465382433222,40.4698839465776,FALSE,5.32039608354615e-05,48,4,12.875
"30",-3.74374662497659,-3.73194424995318,40.4608809198664,40.465382433222,FALSE,5.32222164067128e-05,48,4,12.475
"31",-3.74374662497659,-3.73194424995318,40.4563794065108,40.4608809198664,FALSE,5.32273680231842e-05,48,4,12.925
"32",-3.74374662497659,-3.73194424995318,40.4518778931552,40.4563794065108,FALSE,5.32279756757917e-05,48,4,12.625
"33",-3.74374662497659,-3.73194424995318,40.4473763797996,40.4518778931552,FALSE,5.3228003885617e-05,48,4,12.425
"34",-3.74374662497659,-3.73194424995318,40.442874866444,40.4473763797996,FALSE,5.32280026344634e-05,96,4,12.475
"35",-3.74374662497659,-3.73194424995318,40.4383733530884,40.442874866444,FALSE,5.32280001703613e-05,48,4,12.075
"36",-3.74374662497659,-3.73194424995318,40.4338718397328,40.4383733530884,FALSE,5.32277243676426e-05,48,4,12.375
"37",-3.74374662497659,-3.73194424995318,40.4293703263772,40.4338718397328,FALSE,5.32247331909489e-05,48,4,12.375
"38",-3.74374662497659,-3.73194424995318,40.4248688130216,40.4293703263772,FALSE,5.32110873551159e-05,96,4,12.95
"39",-3.74374662497659,-3.73194424995318,40.420367299666,40.4248688130216,FALSE,5.31827051068529e-05,48,4,12.425
"40",-3.74374662497659,-3.73194424995318,40.4158657863104,40.420367299666,FALSE,5.31510961586647e-05,96,4,12.675
"41",-3.74374662497659,-3.73194424995318,40.4113642729548,40.4158657863104,FALSE,5.31326609339727e-05,48,4,12.875
