radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,214,4,21605,21737,0,-3.758011,40.268326,1000,2,1,1431523458,1456680414,0
GSM,214,3,1156,13011,0,-3.756294,40.267983,1000,4,1,1431523458,1467523076,0
GSM,214,7,2822,6413,0,-3.751144,40.269012,1000,4,1,1431524218,1480094775,0
GSM,214,3,1158,2869,0,-3.7552642822266,40.266952514648,1000,1,1,1431524218,1431504196,0
GSM,214,7,2822,5194,0,-3.752174,40.274849,1000,4,1,1431525607,1463656086,0
GSM,214,7,2805,5075,0,-3.770174,40.268718,1178,7,1,1431526112,1463486352,0
GSM,214,7,2805,5466,0,-3.757324,40.274506,1000,2,1,1434364122,1441021368,0
GSM,214,7,2805,5464,0,-3.7525177001953,40.273818969727,1000,1,1,1434364122,1434344145,0
GSM,214,3,1156,1235,0,-3.753152,40.27308,1000,13,1,1434364122,1490756828,0
GSM,214,7,2805,5461,0,-3.757324,40.274506,1000,2,1,1434364121,1458030863,0
GSM,214,7,2805,5462,0,-3.740843,40.269701,1906,2,1,1434449731,1458374020,0
GSM,214,7,2805,5465,0,-3.757324,40.273819,1000,2,1,1434449731,1434429743,0
UMTS,214,7,2860,244356019,0,-3.745651,40.268875,1592,5,1,1465192001,1487345669,0
UMTS,214,1,16070,8590476,0,-3.7525177001953,40.272445678711,1000,1,1,1466201296,1466180678,0
UMTS,214,1,19668,8088117,0,-3.7593841552734,40.262832641602,1000,1,1,1466201297,1466180676,0
UMTS,214,25,16070,8119348,0,-3.7580108642578,40.265579223633,1000,1,1,1458560376,1437277905,0
UMTS,214,25,16070,8119258,0,-3.7621307373047,40.258712768555,1000,1,1,1458560375,1437277896,0
UMTS,214,25,16070,8119304,0,-3.7607574462891,40.26008605957,1000,1,1,1458560376,1437277899,0
UMTS,214,25,16070,8119311,0,-3.7648773193359,40.254592895508,1000,1,1,1458560376,1437277899,0
UMTS,214,1,16070,7954866,0,-3.7593841552734,40.262832641602,1000,1,1,1458561515,1434220071,0
GSM,214,1,16070,11556,0,-3.762469,40.258129,1000,2,1,1458561515,1513246980,0
GSM,214,7,2805,5706,0,-3.7497711181641,40.268325805664,1000,1,1,1458584834,1458222079,0
LTE,214,7,28600,71798558,0,-3.763562,40.261459,1000,47,1,1458595669,1468060949,0
LTE,214,7,28600,71798548,0,-3.7538909912109,40.262832641602,1000,15,1,1458595669,1469075296,0
LTE,214,7,28600,71921951,0,-3.769073,40.274124,1035,18,1,1458595672,1468132043,0
LTE,214,7,28630,71810590,0,-3.762131,40.274277,1000,3,1,1458595687,1480737171,0
LTE,214,7,28630,73732628,0,-3.765049,40.276566,1000,8,1,1458595688,1480981425,0
LTE,214,7,28630,71810570,0,-3.762131,40.276157,1000,37,1,1458595687,1482298402,0
LTE,214,7,28630,71810580,0,-3.756706,40.273819,1000,40,1,1458595687,1482880944,0
UMTS,214,7,2863,139478871,0,-3.7621307373047,40.271072387695,1000,1,1,1458599679,1435124938,0
UMTS,214,7,2863,139473537,0,-3.7717437744141,40.254592895508,1000,1,1,1458599679,1457695946,0
UMTS,214,7,2863,139522029,0,-3.7525177001953,40.272445678711,1000,1,1,1458599680,1450773105,0
UMTS,214,7,2863,73961756,0,-3.752975,40.273361,1000,3,1,1387378139,1431792101,0
