radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,214,1,12878,29130,0,-3.7374114990234,40.437240600586,1000,1,1,1322847309,1322715211,0
GSM,214,1,12878,18021,0,-3.714074,40.460589,3262,2,1,1322847309,1343952564,0
GSM,214,1,12878,16531,0,-3.7374114990234,40.437240600586,1000,1,1,1322847309,1322715211,0
GSM,214,1,12878,29132,0,-3.7374114990234,40.437240600586,1000,1,1,1322847309,1322715211,0
GSM,214,1,13181,13342,0,-3.744964,40.457153,1000,2,1,1322847309,1322715331,0
GSM,214,1,13181,13343,0,-3.7483978271484,40.463333129883,1000,1,1,1322847309,1322715331,0
GSM,214,1,13061,10082,0,-3.7264251708984,40.472946166992,1000,1,1,1322847309,1322715451,0
GSM,214,1,13971,13442,0,-3.729858,40.471573,1000,2,1,1322847309,1384246334,0
GSM,214,1,13061,10081,0,-3.7264251708984,40.472946166992,1000,1,1,1322847309,1322715451,0
GSM,214,1,13971,13441,0,-3.722305,40.475006,1000,2,1,1322847309,1384246334,0
GSM,214,1,13971,12751,0,-3.709259,40.480499,1000,2,1,1322847309,1322715571,0
GSM,214,1,13971,12753,0,-3.7126922607422,40.47981262207,1000,1,1,1322847309,1322715511,0
GSM,214,1,13971,92,0,-3.705139,40.482559,1000,2,1,1322847309,1322715631,0
GSM,214,1,13971,10302,0,-3.716812,40.480499,1000,2,1,1322847309,1384246334,0
GSM,214,1,13061,15047,0,-3.735355,40.470202,2195,2,1,1322847309,1379981833,0
GSM,214,1,13971,93,0,-3.7058258056641,40.481185913086,1000,1,1,1322847309,1322715571,0
GSM,214,1,13971,10231,0,-3.710632,40.481873,1000,2,1,1322847309,1384246334,0
GSM,214,1,13971,17011,0,-3.701706,40.483246,1000,2,1,1322847309,1322715631,0
GSM,214,1,13971,10301,0,-3.702393,40.483933,1000,2,1,1322847309,1384246334,0
GSM,214,1,13971,3251,0,-3.6975860595703,40.485305786133,1000,1,1,1322847309,1322715631,0
GSM,214,1,19472,1703,0,-3.685226,40.483933,1056,2,1,1322847309,1322715751,0
GSM,214,1,13971,233,0,-3.6975860595703,40.485305786133,1000,1,1,1322847309,1322715631,0
GSM,214,1,13971,3230,0,-3.696213,40.483933,1000,2,1,1322847309,1384246334,0
GSM,214,1,19472,1699,0,-3.6852264404297,40.482559204102,1000,1,1,1322847309,1322715691,0
GSM,214,1,13971,13432,0,-3.6852264404297,40.482559204102,1000,1,1,1322847309,1322715691,0
GSM,214,1,19472,1733,0,-3.6852264404297,40.482559204102,1000,1,1,1322847309,1322715691,0
GSM,214,1,19472,1723,0,-3.68866,40.483933,1000,2,1,1322847309,1379982333,0
GSM,214,1,19472,10019,0,-3.6728668212891,40.482559204102,1000,1,1,1322847309,1322715751,0
GSM,214,1,13971,8384,0,-3.6728668212891,40.482559204102,1000,1,1,1322847309,1322715751,0
GSM,214,1,19472,1732,0,-3.6728668212891,40.482559204102,1000,1,1,1322847309,1322715751,0
